"reference_date","target","horizon","target_end_date","location","output_type","output_type_id","value"
"2025-03-29","wk inc covid hosp",0,2025-03-29,"01","quantile",0.01,4.96
"2025-03-29","wk inc covid hosp",0,2025-03-29,"01","quantile",0.025,6.9
"2025-03-29","wk inc covid hosp",0,2025-03-29,"01","quantile",0.05,9.95
"2025-03-29","wk inc covid hosp",0,2025-03-29,"01","quantile",0.1,13
"2025-03-29","wk inc covid hosp",0,2025-03-29,"01","quantile",0.15,18
"2025-03-29","wk inc covid hosp",0,2025-03-29,"01","quantile",0.2,20
"2025-03-29","wk inc covid hosp",0,2025-03-29,"01","quantile",0.25,22.75
"2025-03-29","wk inc covid hosp",0,2025-03-29,"01","quantile",0.3,25
"2025-03-29","wk inc covid hosp",0,2025-03-29,"01","quantile",0.35,26.65
"2025-03-29","wk inc covid hosp",0,2025-03-29,"01","quantile",0.4,29
"2025-03-29","wk inc covid hosp",0,2025-03-29,"01","quantile",0.45,30.55
"2025-03-29","wk inc covid hosp",0,2025-03-29,"01","quantile",0.5,32.5
"2025-03-29","wk inc covid hosp",0,2025-03-29,"01","quantile",0.55,35.45
"2025-03-29","wk inc covid hosp",0,2025-03-29,"01","quantile",0.6,37
"2025-03-29","wk inc covid hosp",0,2025-03-29,"01","quantile",0.65,41
"2025-03-29","wk inc covid hosp",0,2025-03-29,"01","quantile",0.7,44.3
"2025-03-29","wk inc covid hosp",0,2025-03-29,"01","quantile",0.75,47.75
"2025-03-29","wk inc covid hosp",0,2025-03-29,"01","quantile",0.8,56.2
"2025-03-29","wk inc covid hosp",0,2025-03-29,"01","quantile",0.85,62.3
"2025-03-29","wk inc covid hosp",0,2025-03-29,"01","quantile",0.9,71.2
"2025-03-29","wk inc covid hosp",0,2025-03-29,"01","quantile",0.95,84
"2025-03-29","wk inc covid hosp",0,2025-03-29,"01","quantile",0.975,91.1
"2025-03-29","wk inc covid hosp",0,2025-03-29,"01","quantile",0.99,107.39
"2025-03-29","wk inc covid hosp",1,2025-04-05,"01","quantile",0.01,0.99
"2025-03-29","wk inc covid hosp",1,2025-04-05,"01","quantile",0.025,2.95
"2025-03-29","wk inc covid hosp",1,2025-04-05,"01","quantile",0.05,4.95
"2025-03-29","wk inc covid hosp",1,2025-04-05,"01","quantile",0.1,8.9
"2025-03-29","wk inc covid hosp",1,2025-04-05,"01","quantile",0.15,14.85
"2025-03-29","wk inc covid hosp",1,2025-04-05,"01","quantile",0.2,18.8
"2025-03-29","wk inc covid hosp",1,2025-04-05,"01","quantile",0.25,21
"2025-03-29","wk inc covid hosp",1,2025-04-05,"01","quantile",0.3,24
"2025-03-29","wk inc covid hosp",1,2025-04-05,"01","quantile",0.35,26.65
"2025-03-29","wk inc covid hosp",1,2025-04-05,"01","quantile",0.4,28
"2025-03-29","wk inc covid hosp",1,2025-04-05,"01","quantile",0.45,30
"2025-03-29","wk inc covid hosp",1,2025-04-05,"01","quantile",0.5,37
"2025-03-29","wk inc covid hosp",1,2025-04-05,"01","quantile",0.55,39
"2025-03-29","wk inc covid hosp",1,2025-04-05,"01","quantile",0.6,43.2
"2025-03-29","wk inc covid hosp",1,2025-04-05,"01","quantile",0.65,47
"2025-03-29","wk inc covid hosp",1,2025-04-05,"01","quantile",0.7,54
"2025-03-29","wk inc covid hosp",1,2025-04-05,"01","quantile",0.75,64.25
"2025-03-29","wk inc covid hosp",1,2025-04-05,"01","quantile",0.8,73.4
"2025-03-29","wk inc covid hosp",1,2025-04-05,"01","quantile",0.85,91.75
"2025-03-29","wk inc covid hosp",1,2025-04-05,"01","quantile",0.9,107.6
"2025-03-29","wk inc covid hosp",1,2025-04-05,"01","quantile",0.95,130.55
